ano,mês,dia,hora,min,latit,longit,ss.s,mag,estado,cidade,
1957,,,,,-20300,-49200,  0.0, 0.0,SP,ICEM,
1957,1,18,16,15,-15600,-56100,  0.0, 3.0,MT,Cuiabá,
1958,7,28,11,,-3130,-60020,  0.0, 0.0,AM,Manaus,
1959,2,5,10,50,-11540,-57410,  0.0, 3.5,MT,Porto dos Gauchos,
1959,5,25,20,8,-21260,-48690,  0.0, 3.2,SP,FERN.PRESTES,
1959,5,27,14,5,-21260,-48690,  0.0, 3.2,SP,FERN.PRESTES,
1959,5,29,3,55,-21260,-48690,  0.0, 3.2,SP,FERN.PRESTES,
1960,2,27,,,-21260,-48690,  0.0, 0.0,SP,FERN.PRESTES,
1960,6,11,12,45,-22130,-45100,  0.0, 3.5,MG,São Lourenço,
1960,10,21,4,18,-7200,-73800,100.0, 4.9,AC,NW DO ACRE,
1960,11,15,,,-15600,-56100,  0.0, 0.0,MT,CUIABÁ?,
1961,2,8,,,-8010,-36060,  0.0, 0.0,PE,Toritama,
1961,5,,,,-8280,-35960,  0.0, 0.0,PE,CARUARU,
1961,6,11,,,-22050,-44970,  0.0, 0.0,MG,CAXAMBU,
1961,6,11,2,,-9610,-35950,  0.0, 2.0,AL,PILAR,
1961,11,4,18,,-16380,-49610,  0.0, 3.5,GO,Inhumas,
1962,1,17,2,27,-22930,-43230,  0.0, 3.2,RJ,Rio de JANEIRO,
1963,,,,,-8280,-35960,  0.0, 0.0,PE,CARUARU,
1963,3,30,,,-5690,-36240,  0.0, 0.0,RN,LAJES,
1963,8,27,,,-5690,-36240,  0.0, 3.7,RN,LAJES,
1963,8,29,23,,-18170,-56780,  5.0, 4.6,MS,Corumbá,
1963,9,3,,,-5690,-36240,  0.0, 0.0,RN,LAJES,
1963,10,2,15,40,-5690,-36240,  0.0, 3.9,RN,LAJES,
1963,10,14,0,,-3130,-60020,  0.0, 0.0,AM,Manaus,
1963,12,14,0,5,-2360,-61020, 45.0, 5.1,AM,MANAUS,
1964,,,,,-4140,-38850,  0.0, 0.0,CE,PALMACIA,
1964,1,19,,,-8280,-35960,  0.0, 3.5,PE,CARUARU,
1964,1,20,,,-8280,-35960,  0.0, 0.0,PE,CARUARU,
1964,2,13,11,21,-18170,-56780,  5.0, 5.4,MS,NW DE MS,
1964,3,21,,,-20510,-45590,  0.0, 3.0,MG,PONTEVILA,
1964,6,16,,,-8280,-35960,  0.0, 3.5,PE,CARUARU,
1964,6,19,3,56,2600,-59560,  0.0, 4.3,RR,RR/GUIANA,
1965,,,,,-8280,-35960,  0.0, 0.0,PE,CARUARU,
1965,,,17,,-10800,-47500,  0.0, 0.0,GO,P.ALTA DO N.,
1965,6,26,5,55,-9100,-72950,  0.0, 4.5,AC,W ACRE,
